Name,TextureID,Diameter,IsContactBinary,DefaultName,FileSubsection,Layer,CustomIcon,SystemDiameter,Flags
Selam,selam,0.24,TRUE,Asteroid,belt_asteroids,TERRAIN_9,,1.15,
Braille,braille,2,FALSE,Asteroid,belt_asteroids,TERRAIN_9,,,
Kamooalewa,kamooalewa,0.027,FALSE,Asteroid,belt_asteroids,TERRAIN_9,,,
Itokawa,itokawa,0.53,TRUE,Asteroid,belt_asteroids,TERRAIN_9,,,
Ryugu,ryugu,1,FALSE,Asteroid,belt_asteroids,TERRAIN_9,,,
Santos,methone,0.5,FALSE,Dust Ball,saturn_moons,TERRAIN_9,icons/icon_dustball.png,,
Earhart,methone,0.4,FALSE,Dust Ball,saturn_moons,TERRAIN_9,icons/icon_dustball.png,,
Peggy,methone,1,FALSE,Dust Ball,saturn_moons,TERRAIN_9,icons/icon_dustball.png,,
Bleriot,methone,0.86,FALSE,Dust Ball,saturn_moons,TERRAIN_9,icons/icon_dustball.png,,
S2009s1,methone,0.3,FALSE,Dust Ball,saturn_moons,TERRAIN_9,icons/icon_dustball.png,,
Aegaeon,aegaeon,1.4,FALSE,Dust Ball,saturn_moons,TERRAIN_9,icons/icon_dustball.png,,
Anthe,anthe,2.4,FALSE,Dust Ball,saturn_moons,TERRAIN_9,icons/icon_dustball.png,,
Pallene,pallene,5.76,FALSE,Dust Ball,saturn_moons,TERRAIN_9,icons/icon_dustball.png,,
